DRHO,DENS,GR,DTC,WELLNAME
0.01778,2.3794,1.2149818064869775,101.5516,26
0.01701,2.3705,1.0864574053801823,101.6722,26
0.01624,2.3615,0.9579330042733872,101.7928,26
0.01779,2.3593,0.4939919340106246,101.1051,26
0.02008,2.3591,-0.0767344587156164,100.1601,26
0.02237,2.359,-0.6474608514418574,99.215,26
0.02615,2.365,-0.7084457003793055,99.1754,26
0.03157,2.3776,-0.2120746518622883,100.1259,26
0.03698,2.3903,0.2842963966547289,101.0763,26
0.04084,2.3997,0.6546027754664387,102.0389,26
0.03833,2.3961,0.5105367195267784,103.0507,26
0.03582,2.3924,0.3664844051033279,104.0625,26
0.03332,2.3888,0.2224183491636675,105.0743,26
0.03624,2.3864,0.3826032036169888,103.5555,26
0.03966,2.3841,0.5706695944592409,101.8046,26
0.04308,2.3819,0.7587497268177048,100.0536,26
0.04691,2.3866,0.8381482074757887,99.2518,26
0.05097,2.3954,0.8551327215106451,98.995,26
0.05503,2.4041,0.8721034940292898,98.7383,26
0.05497,2.4104,0.7967037945881499,98.5295,26
0.04738,2.4123,0.5529567800652879,98.408,26
0.03979,2.4142,0.3092235070586338,98.2866,26
0.03235,2.4153,0.1233832418423071,98.2577,26
0.02672,2.4062,0.6675885082843492,99.396,26
0.0211,2.3972,1.2118075162425992,100.5343,26
0.01547,2.3881,1.7560127826846414,101.6726,26
0.0147,2.3814,1.6990267149641372,103.2054,26
0.0152,2.3753,1.4847827357429195,104.8413,26
0.01571,2.3692,1.2705387565217023,106.4772,26
0.01308,2.3457,0.8008949570320264,108.8414,26
0.00747,2.3057,0.0876415581815814,111.9001,26
0.00186,2.2656,-0.6256118406688634,114.9588,26
-0.00142,2.2359,-1.1413034609763395,116.3235,26
0.00307,2.2409,-0.9992574079194642,112.0477,26
0.00756,2.2459,-0.8571976133463808,107.7719,26
0.01204,2.2509,-0.7151378187732973,103.4961,26
0.01735,2.2884,-0.5865584516016646,102.6649,26
0.0227,2.3277,-0.4586936432729226,102.0146,26
0.02805,2.367,-0.3308288349441787,101.3643,26
0.02858,2.3789,-0.015777092810586,101.2209,26
0.02672,2.3772,0.391782536444886,101.328,26
0.02486,2.3755,0.7993284241841502,101.4352,26
0.02378,2.3742,0.8767069019594492,101.2558,26
0.0239,2.3736,0.4343125291130706,100.6253,26
0.02402,2.373,-0.0080818437333058,99.9948,26
0.02394,2.3726,-0.3958536896472004,99.3803,26
0.02226,2.3738,-0.3306089706848283,98.8993,26
0.02058,2.3751,-0.265377993238666,98.4183,26
0.0189,2.3763,-0.2001332742762939,97.9374,26
0.01875,2.37,-0.3255520927197583,101.0468,26
0.01891,2.3622,-0.4909037572678248,104.9084,26
0.01908,2.3543,-0.6562691633321013,108.7701,26
0.0197,2.3338,-0.8401581332466886,109.6431,26
0.02068,2.3027,-1.0394513428320464,108.0304,26
0.02167,2.2716,-1.2387308109011943,106.4176,26
0.0234,2.2533,-1.322526576746297,104.7859,26
0.02717,2.2708,-1.0861037903630602,103.1015,26
0.03094,2.2882,-0.8496947454960331,101.4172,26
0.03471,2.3056,-0.6132719591127961,99.7328,26
0.01442,2.3923,-0.0601759316832527,96.0682,26
0.01567,2.394,0.1913762640465646,96.1905,26
0.01729,2.3972,0.5920513936811144,96.4963,26
0.01891,2.4004,0.992726523315664,96.8021,26
